# Resultado VAS;# Velocidad aplicada;#Metodo aplicado
3;0.3;2
4;0.3;2
4;0.3;2
4;0.3;2
4;0.3;2
0;30;2
0;30;2
0;30;2
1;30;2
0;30;2
2;3;2
2;3;2
2;3;2
3;3;2
2;3;2
