# Resultado VAS;# Velocidad aplicada;#Metodo aplicado
-2;0.3;1
-6;0.3;1
-7;0.3;1
-6;0.3;1
-6;0.3;1
4;3;1
3;3;1
3;3;1
4;3;1
4;3;1
2;30;1
2;30;1
2;30;1
3;30;1
2;30;1
