# Resultado VAS;# Velocidad aplicada;#Metodo aplicado
1;0.3;1
6;0.3;1
2;0.3;1
-2;0.3;1
-4;0.3;1
2;3;1
2;3;1
-1;3;1
5;3;1
1;3;1
4;30;1
4;30;1
-3;30;1
3;30;1
2;30;1
