# Resultado VAS;# Velocidad aplicada;#Metodo aplicado
-2;0.3;1
-2;0.3;1
5;0.3;1
-5;0.3;1
-2;0.3;1
-1;3;1
2;3;1
5;3;1
3;3;1
5;3;1
3;30;1
3;30;1
7;30;1
4;30;1
7;30;1
