# Resultado VAS;# Velocidad aplicada;#Metodo aplicado
-7;0.3;1
-7;0.3;1
-4;0.3;1
2;0.3;1
-9;0.3;1
5;3;1
3;3;1
4;3;1
6;3;1
5;3;1
-3;30;1
2;30;1
1;30;1
-9;30;1
-3;30;1
