# Trials rnd
50;16:35:56;16:36:01
10;16:36:21;16:36:31
30;16:36:51;16:36:56
200;16:37:16;16:37:20
100;16:37:40;16:37:43
3;16:38:03;16:38:29
30;16:38:49;16:38:55
50;16:39:15;16:39:19
200;16:39:39;16:39:43
3;16:40:03;16:40:29
10;16:40:49;16:40:58
100;16:41:18;16:41:22
200;16:41:42;16:41:46
100;16:42:06;16:42:10
10;16:42:30;16:42:40
3;16:43:00;16:43:26
50;16:43:46;16:43:50
30;16:44:10;16:44:16
30;16:44:36;16:44:41
50;16:45:01;16:45:06
100;16:45:26;16:45:29
3;16:45:49;16:46:15
10;16:46:35;16:46:45
200;16:47:05;16:47:09
200;16:47:29;16:47:32
10;16:47:52;16:48:02
3;16:48:22;16:48:48
50;16:49:08;16:49:12
100;16:49:32;16:49:36
30;16:49:56;16:50:02
